INDEX,Datetime,UNIX_time,LV_time,FG1x,FG2x,FG3x,FG1y,FG2y,FG3y,FG1z,FG2z,FG3z
142,20220923_153318,1663972398.623619080,3746817198.623619080,11.88817,97.97496,29.91827,-163.63121,-185.12508,-359.08730,60.85408,92.43958,3.51128
143,20220923_153319,1663972399.123569010,3746817199.123569010,11.88829,97.97139,29.91951,-163.63405,-185.12458,-359.07784,60.85224,92.44192,3.51042
144,20220923_153319,1663972399.623500820,3746817199.623500820,11.89051,97.97471,29.91667,-163.63897,-185.12483,-359.07671,60.85433,92.43637,3.51165
145,20220923_153320,1663972400.123950480,3746817200.123950480,11.88768,97.97632,29.92197,-163.64094,-185.12495,-359.07636,60.85421,92.43822,3.50783
146,20220923_153320,1663972400.623382570,3746817200.623382570,11.89273,97.97632,29.92086,-163.63516,-185.12790,-359.07745,60.86185,92.43724,3.50943
147,20220923_153321,1663972401.123269560,3746817201.123269560,11.89569,97.97508,29.91963,-163.63614,-185.12630,-359.08301,60.85125,92.43477,3.51436
148,20220923_153321,1663972401.623702530,3746817201.623702520,11.89618,97.97040,29.91951,-163.64119,-185.12446,-359.08422,60.85285,92.44426,3.51017
149,20220923_153322,1663972402.123779770,3746817202.123779770,11.88854,97.97151,29.92099,-163.63306,-185.12323,-359.07843,60.85951,92.43822,3.51707
150,20220923_153322,1663972402.623093600,3746817202.623093600,11.89014,97.97311,29.92074,-163.63959,-185.12766,-359.07745,60.85470,92.44352,3.51732
151,20220923_153323,1663972403.123515130,3746817203.123515130,11.89285,97.97126,29.92382,-163.63516,-185.13124,-359.08139,60.85618,92.43884,3.50586
152,20220923_153323,1663972403.623927120,3746817203.623927120,11.89187,97.97348,29.92000,-163.64008,-185.12852,-359.07376,60.86025,92.43798,3.51054
153,20220923_153324,1663972404.123576160,3746817204.123576160,11.89236,97.97040,29.91901,-163.63380,-185.12323,-359.07869,60.85556,92.44118,3.50832
154,20220923_153324,1663972404.623515130,3746817204.623515130,11.88817,97.97249,29.91458,-163.63885,-185.12655,-359.08079,60.85285,92.43502,3.50808
155,20220923_153325,1663972405.123405460,3746817205.123405460,11.89039,97.97114,29.91532,-163.63724,-185.12716,-359.07819,60.85421,92.43859,3.50906
156,20220923_153325,1663972405.623132710,3746817205.623132700,11.89051,97.97040,29.91532,-163.63516,-185.12790,-359.08928,60.85334,92.44315,3.51140
157,20220923_153326,1663972406.124176980,3746817206.124176980,11.89162,97.96326,29.91754,-163.62948,-185.12434,-359.08449,60.85581,92.44044,3.51177
158,20220923_153326,1663972406.625063420,3746817206.625063420,11.89433,97.97422,29.91384,-163.63232,-185.12619,-359.07831,60.85741,92.43896,3.51399
159,20220923_153327,1663972407.125688080,3746817207.125688080,11.89519,97.97422,29.91840,-163.63688,-185.12421,-359.08227,60.85532,92.43847,3.51350
160,20220923_153327,1663972407.625691410,3746817207.625691410,11.90308,97.97200,29.92579,-163.64107,-185.13173,-359.07660,60.83449,92.44303,3.51300
161,20220923_153328,1663972408.126084800,3746817208.126084800,11.90382,97.97065,29.91803,-163.64082,-185.12753,-359.08608,60.83856,92.44303,3.51498
162,20220923_153328,1663972408.626737590,3746817208.626737590,11.91380,97.97015,29.91667,-163.64574,-185.12619,-359.07943,60.83831,92.43810,3.51091
163,20220923_153329,1663972409.126580240,3746817209.126580240,11.93155,97.97225,29.91766,-163.64920,-185.12532,-359.08103,60.83165,92.43896,3.50906
164,20220923_153329,1663972409.626690390,3746817209.626690390,11.91713,97.98112,29.91532,-163.64033,-185.13000,-359.08360,60.83252,92.43687,3.50672
165,20220923_153330,1663972410.126396660,3746817210.126396660,11.92095,97.97139,29.92037,-163.64304,-185.12988,-359.07609,60.83387,92.43736,3.51054
166,20220923_153330,1663972410.626254560,3746817210.626254560,11.91146,97.97336,29.92246,-163.64440,-185.13037,-359.07819,60.82746,92.43403,3.51190
167,20220923_153331,1663972411.126687050,3746817211.126687050,11.91750,97.97200,29.92308,-163.64611,-185.12655,-359.07857,60.82709,92.43674,3.50857
168,20220923_153331,1663972411.626967430,3746817211.626967430,11.91676,97.97323,29.91717,-163.64366,-185.12384,-359.07130,60.82870,92.43958,3.51177
169,20220923_153332,1663972412.126388070,3746817212.126388070,11.91540,97.96855,29.92296,-163.64181,-185.12605,-359.07216,60.82882,92.44032,3.51239
170,20220923_153332,1663972412.626729490,3746817212.626729490,11.91380,97.97668,29.91864,-163.64033,-185.12199,-359.07683,60.82661,92.43859,3.51264
171,20220923_153333,1663972413.126730440,3746817213.126730440,11.91972,97.97262,29.92357,-163.64574,-185.12963,-359.07116,60.82771,92.44143,3.51485
172,20220923_153333,1663972413.626729490,3746817213.626729490,11.91836,97.97200,29.91827,-163.64809,-185.12642,-359.07621,60.83190,92.43416,3.51374
173,20220923_153334,1663972414.126731870,3746817214.126731870,11.91590,97.97471,29.92357,-163.65241,-185.12545,-359.07843,60.82956,92.44389,3.50955
174,20220923_153334,1663972414.626735210,3746817214.626735210,11.91023,97.96904,29.92160,-163.64427,-185.13099,-359.08422,60.83215,92.44291,3.51374
175,20220923_153335,1663972415.126732830,3746817215.126732820,11.90727,97.97792,29.91815,-163.65253,-185.12594,-359.08177,60.82549,92.44328,3.51288
176,20220923_153335,1663972415.626120570,3746817215.626120570,11.91725,97.97163,29.91519,-163.64735,-185.12471,-359.07757,60.82759,92.43107,3.51079
177,20220923_153336,1663972416.126161570,3746817216.126161570,11.91528,97.96880,29.92037,-163.65006,-185.12889,-359.07722,60.82759,92.43872,3.50672
178,20220923_153336,1663972416.626693730,3746817216.626693720,11.91503,97.97348,29.91889,-163.64267,-185.12753,-359.07474,60.82833,92.43637,3.51374
179,20220923_153337,1663972417.126649380,3746817217.126649380,11.91738,97.97151,29.92012,-163.64304,-185.13025,-359.08337,60.83190,92.44106,3.51054
180,20220923_153337,1663972417.626719950,3746817217.626719950,11.91639,97.96350,29.91667,-163.64452,-185.12716,-359.08127,60.83055,92.44241,3.50881
181,20220923_153338,1663972418.126504900,3746817218.126504900,11.91331,97.97286,29.91643,-163.64907,-185.12051,-359.07485,60.82981,92.43736,3.50549
